Version,"RVGL 23.1030a1","P2P","Client"
Session,"08/17/24 15:22:32","FROSTTBITTEN","Arcade",86,"false"
Results,"Santorini",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"STINGOX","Toyeca","45:58:280","00:31:333","true","false"
02,"FAMOUS","Toyeca","46:06:412","00:31:394","true","false"
03,"KIKI","Toyeca","46:09:048","00:31:446","true","false"
04,"KILABARUS","Toyeca","46:09:807","00:31:329","true","false"
05,"POWERATE","Toyeca","46:16:066","00:31:499","true","false"
06,"GFORCE","Toyeca","46:19:610","00:31:364","true","false"
07,"MACACOSKY","Toyeca","46:22:227","00:31:430","true","false"
08,"AHMA","Toyeca","46:24:519","00:31:452","true","false"
09,"NICKURN","Toyeca","46:28:241","00:31:189","true","false"
10,"LAMPAERT","Toyeca","46:36:066","00:31:545","true","false"
11,"IURAC","Toyeca","46:40:320","00:31:361","true","false"
12,"LAGGEEROK","Toyeca","46:42:046","00:31:749","true","false"
13,"V","Toyeca","47:23:874","00:31:511","true","false"
14,"ERZU","Cougar","47:40:827","00:31:896","true","false"
